"Occupation Title","Occupation Code","Employment 2020","Employment 2030","Employment Change, 2020-2030","Employment Percent Change, 2020-2030","Occupational Openings, 2020-2030 Annual Average","Median Annual Wage 2020","Typical Entry-Level Education","Education Code","Work Experience in a Related Occupation","Workex Code","Typical on-the-job Training","trCode"
"Cargo and freight agents    * Cargo Agent* Cargo Router* Freight Agent* Freight Shipping Agent* Ramp Service Agent","=""43-5011""","95.6","105.1","9.5","9.9","10.7","43,770","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Carpenters    * Beam Builder* Building Carpenter* Construction Carpenter* Counter Installer* Custom Wood Stair Builder* Finish Carpenter* Hardwood Floor Installer* House Carpenter* Wood Floor Layer","=""47-2031""","942.9","963.0","20.1","2.1","89.3","49,520","High school diploma or equivalent","7","None","4","Apprenticeship","2"
"Carpet installers    * Carpet Installer* Carpet Layer* Commercial Carpet Installer* Residential Carpet Installer* Wall-to-Wall Carpet Installer","=""47-2041""","32.6","30.7","-1.9","-5.9","2.5","41,480","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Cartographers and photogrammetrists    * Cadastral Mapper* Digital Cartographer* Engineer, Photogrammetric* Map Maker* Mapper* Orthophotography Technician* Photo Cartographer* Photogrammetrist* Topographer","=""17-1021""","13.2","13.9","0.7","5.4","1.2","68,380","Bachelor's degree","3","None","4","None","6"
"Cashiers    * Cash Register Operator* Check Out Cashier* Fare Collector* Grocery Checker* Hotel  Dining Room Cashier* Snack Bar Cashier* Toll Booth Operator* Toll Collector","=""41-2011""","3,379.1","3,042.7","-336.4","-10.0","546.9","25,020","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Cement masons and concrete finishers    * Cement Mason* Cement Patcher* Concrete Finisher* Concrete Floor Installer* Concrete Mason* Concrete Smoother* Concrete Swimming Pool Installer","=""47-2051""","194.1","192.2","-1.9","-1.0","17.2","46,000","No formal educational credential","8","None","4","Moderate-term on-the-job training","4"
"Chefs and head cooks    * Banquet Chef* Chef De Cuisine* Chef De Froid* Executive Chef* Head Chef* Kitchen Chef* Master Chef* Pastry Chef* Sous Chef* Sushi Chef","=""35-1011""","110.7","138.7","28.0","25.3","18.8","53,380","High school diploma or equivalent","7","5 years or more","1","None","6"
"Chemical engineers    * Absorption and Adsorption Engineer* Chemical Process Engineer* Chemical Research Engineer* Fuels Engineer* Oxidation Engineer* Plastics Engineer* Polymerization Engineer* Refinery Process Engineer","=""17-2041""","26.3","28.7","2.4","9.3","1.8","108,540","Bachelor's degree","3","None","4","None","6"
"Chemical equipment operators and tenders    * Acid Purification Equipment Operator* Chemical Machine Tender* Chemical Process Equipment Operator* Chemical Processor* Chemical Treatment Operator","=""51-9011""","93.5","88.6","-4.9","-5.3","8.6","50,510","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Chemical plant and system operators    * Chemical Plant Operator* Chemical Treatment Plant Technician* Nitric Acid Plant Operator* Nitrogen Operator* Pharmaceutical Manufacturing Machine Operator","=""51-8091""","29.5","29.4","-0.1","-0.5","3.0","65,960","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Chemical technicians    * Assayer* Chemical Laboratory Technician* Chemical Technician* Inorganic Chemical Technician","=""19-4031""","65.1","68.4","3.3","5.0","7.5","49,820","Associate's degree","4","None","4","Moderate-term on-the-job training","4"
"Chemistry teachers, postsecondary    * Chemistry Professor* Inorganic Chemistry Professor* Organic Chemistry Professor* Physical Chemistry Professor* Phytochemistry Professor","=""25-1052""","25.6","27.6","2.0","7.9","2.6","80,400","Doctoral or professional degree","1","None","4","None","6"
"Chemists    * Agricultural Chemist* Analytical Chemist* Bench Chemist* Food Chemist* Formulary Chemist* Industrial Chemist* Inorganic Chemist* Laboratory Chemist* Nuclear Chemist* Organic Chemist* Quality Control Chemist* Research and Development Chemist","=""19-2031""","85.4","91.1","5.7","6.7","8.4","79,300","Bachelor's degree","3","None","4","None","6"
"Chief executives    * CEO* COO* Chief Executive Officer* Chief Operating Officer* Commissioner of Internal Revenue* County Commissioner* Government Service Executive* Governor* Mayor","=""11-1011""","292.5","275.7","-16.8","-5.7","17.5","185,950","Bachelor's degree","3","5 years or more","1","None","6"
"Child, family, and school social workers    * C-CYFSW* Certified Children, Youth, and Family Social Worker* Child Abuse Worker* Child Protective Services Social Worker* Child Protective Services Specialist* Child Welfare Social Worker* Child Welfare Worker* Child and Family Services Worker* Family Preservation Caseworker* Family Preservation Worker* Family Service Caseworker* Foster Care Social Worker* Foster Care Worker* School Social Worker","=""21-1021""","335.3","377.4","42.2","12.6","36.7","48,430","Bachelor's degree","3","None","4","None","6"
"Childcare workers    * Au Pair* Baby Sitter* Before and After School Daycare Worker* Childcare Aide* Childcare Attendant* Childcare Worker* Day Care Attendant* Day Care Worker* Daycare Aide* Daycare Provider* Governess* Nanny* Nursery Day Care Worker* Playground Aide","=""39-9011""","992.4","1,076.6","84.2","8.5","150.3","25,460","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Chiropractors    * Chiropractic Doctor* Chiropractic Physician* Chiropractor","=""29-1011""","51.4","57.0","5.6","10.8","1.8","70,720","Doctoral or professional degree","1","None","4","None","6"
"Choreographers    * Choreographer* Dance Director* Dance Master","=""27-2032""","4.6","6.1","1.5","32.1","1.0","43,680","High school diploma or equivalent","7","5 years or more","1","Long-term on-the-job training","3"
"Civil engineering technologists and technicians    * Civil Engineering Technician* Concrete Engineering Technician* Geotechnical Engineering Technician* Highway Engineering Technician* Structural Engineering Technician* Transportation Engineering Technician","=""17-3022""","68.8","70.0","1.2","1.8","6.5","54,080","Associate's degree","4","None","4","None","6"
"Civil engineers    * Architectural Engineer* Bridge Engineer* Civil Engineer* Construction Engineer* Facilities Engineer* Geotechnical Engineer* Highway Engineer* Hydrographic Engineer* Railroad Design Consultant* Research Hydraulic Engineer* Structural Engineer","=""17-2051""","309.8","335.1","25.3","8.2","25.0","88,570","Bachelor's degree","3","None","4","None","6"
"Claims adjusters, examiners, and investigators    * Claims Analyst* Fire Claims Adjuster* Health Claims Examiner* Health Insurance Adjuster* Independent Insurance Adjuster* Medical Claims Analyst* Medical Claims Examiner* Property Damage Claims Adjustor* Property and Casualty Insurance Claims Examiner* Reinsurance Claims Analyst* Workers Compensation Claims Adjuster* Workers Compensation Claims Examiner","=""13-1031""","333.8","324.7","-9.1","-2.7","24.0","68,270","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Cleaners of vehicles and equipment    * Aircraft Cleaner* Auto Cleaner* Auto Detailer* Automobile Detailer* Beer Coil Cleaner* Boat Detailer* Bus Cleaner* Bus Washer* Car Wash Attendant* Car Washer* Equipment Cleaner* Machine Cleaner* Railroad Car Cleaner* Truck Washer","=""53-7061""","367.2","399.6","32.4","8.8","56.1","27,640","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Cleaning, washing, and metal pickling equipment operators and tenders    * Acid Dipper* Bottle Washing Machine Operator* Degreaser Operator* Glass Cleaning Machine Tender* Immersion Metal Cleaner* Metal Pickling Equipment Operator* Pickle House Operator","=""51-9192""","14.7","15.7","0.9","6.3","1.7","32,230","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Clergy    * Cantor* Children's Pastor* College Chaplain* Hebrew Cantor* Hospital Chaplain* Imam* Minister* Parish Priest* Pastor* Priest* Rabbi* Reverend* Vicar* Youth Pastor","=""21-2011""","260.6","267.2","6.6","2.5","26.7","51,940","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Clinical laboratory technologists and technicians","=""29-2010""","335.5","372.0","36.5","10.9","25.9","54,180","Bachelor's degree","3","None","4","None","6"
"Clinical, counseling, and school psychologists    * Child Psychologist* Child Psychometrist* Clinical Psychologist* Eating Disorder Psychologist* Educational Psychologist* Geropsychologist* Pediatric Psychologist* School Psychologist* School Psychometrist* Vocational Psychologist","=""19-3031""","118.8","131.1","12.3","10.4","9.4","79,820","Doctoral or professional degree","1","None","4","Internship/residency","1"
"Coaches and scouts    * Athletic Coach* Baseball Coach* Baseball Scout* Basketball Coach* Boxing Trainer* Coach* Football Coach* Hockey Scout* Ice Skating Coach* Riding Coach* Ski Coach* Tennis Coach* Tennis Instructor","=""27-2022""","249.9","313.8","63.9","25.6","45.1","36,330","Bachelor's degree","3","None","4","None","6"
"Coating, painting, and spraying machine setters, operators, and tenders","=""51-9124""","143.4","154.2","10.8","7.5","15.9","39,060","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Coil winders, tapers, and finishers    * Coil Builder* Coil Former* Coil Winder* Motor Rewinder* Motor Winder* Multiple Coil Winder* Rotor Coil Taper* Wire Coiler* Wire Winder* Wire Winding Machine Tender","=""51-2021""","12.4","10.9","-1.5","-12.4","1.1","37,970","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Coin, vending, and amusement machine servicers and repairers    * Arcade Games Mechanic* Coin Box Collector* Juke Box Mechanic* Parking Meter Collector* Slot Machine Mechanic* Slot Technician* Stamp Machine Servicer* Vending Machine Filler","=""49-9091""","27.2","29.7","2.4","9.0","3.6","37,580","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Commercial and industrial designers    * Automobile Designer* Bank Note Designer* Bicycle Designer* Car Body Designer* Ceramic Designer* Ceramic Mold Designer* Furniture Designer* Package Designer* Rug Designer* Snowboard Designer* Textile Designer* Tile Designer* Toy Designer","=""27-1021""","31.5","33.3","1.8","5.6","3.1","71,640","Bachelor's degree","3","None","4","None","6"
"Commercial divers    * Commercial Diver* Marine Diver* Non Destructive Testing Underwater Welder* Salvage Diver* Scuba Diver* Submarine Diver* Underwater Welder","=""49-9092""","4.0","4.7","0.7","16.8","0.5","54,800","Postsecondary nondegree award","5","None","4","Moderate-term on-the-job training","4"
"Commercial pilots    * Aerial Crop Duster* Aerial Hurricane Hunter* Aerial Sprayer* Agricultural Pilot* Air Ambulance Captain* Air Tour Pilot* Balloon Pilot* Charter Pilot (Commercial Pilot Certificate Required)* Charter Pilot (Commercial)* Commercial Helicopter Pilot* Corporate Pilot* EMS Helicopter Pilot* Emergency Medical Service Helicopter Pilot* Emergency Medical Service Rotary Wing Pilot* Executive Pilot* Flight Instructor (Commercial Pilots)* Helicopter Pilot","=""53-2012""","39.2","43.6","4.5","11.4","4.9","93,300","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Communications equipment operators, all other    * Communications Equipment Operator* Facsimile Machine Operator* Fax Machine Operator* Telegraph and Teletype Operator* Telex Operator","=""43-2099""","4.4","5.0","0.6","13.8","0.5","46,680","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Communications teachers, postsecondary    * Interpersonal Communications Professor* Journalism Professor* Media Arts Professor* Professor of Communication and Writing* Professor of Rhetoric* Public Speaking Professor* Speech Professor","=""25-1122""","33.6","36.0","2.4","7.3","3.4","71,030","Doctoral or professional degree","1","None","4","None","6"
"Community and social service specialists, all other    * Community Organization Worker* Veterans Service Officer","=""21-1099""","95.5","108.2","12.7","13.3","11.7","46,770","Bachelor's degree","3","None","4","None","6"
"Community health workers    * CHW* Community Health Advisor* Community Health Representative* Community Health Worker* Lay Health Advocate* Peer Health Promoter* Promotor(a)","=""21-1094""","64.1","77.6","13.5","21.0","8.6","42,000","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Compensation and benefits managers    * Compensation Director* Employee Benefits Coordinator* Employee Benefits Director* Employee Benefits Manager* Wage and Salary Administrator","=""11-3111""","18.7","19.4","0.7","4.0","1.5","125,130","Bachelor's degree","3","5 years or more","1","None","6"
"Compensation, benefits, and job analysis specialists    * Benefits Analyst* Compensation Analyst* Compensation Specialist* Employee Benefits Specialist* Job Analyst* Job Specification Writer* Occupational Analyst* Pension Administrator* Position Classification Specialist* Retirement Plan Specialist","=""13-1141""","91.9","100.7","8.8","9.6","9.4","67,190","Bachelor's degree","3","Less than 5 years","2","None","6"
"Compliance officers    * Air Pollution Compliance Inspector* Compliance Investigator* Driver's License Examiner* EEO Officer* Environmental Compliance Inspector* Equal Employment Opportunity Investigator* Equal Employment Opportunity Officer* Equal Employment Opportunity Representative* Immigration Investigator* Inspector of Weights and Measures* License Inspector* Mortician Investigator* Wage and Hour Investigator","=""13-1041""","348.7","370.3","21.6","6.2","30.0","71,100","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
