,occ_code,occ_title,occ_group,tot_emp,h_mean,h_median,a_median,year
138,15-1133,"Software Developers, Systems Software",detailed,391700,49.3,47.59,99000,2012
139,15-1134,Web Developers,detailed,102940,31.78,30.05,62500,2012
141,15-1141,Database Administrators,detailed,111590,38.04,37.06,77080,2012
142,15-1142,Network and Computer Systems Administrators,detailed,350320,36.69,34.88,72560,2012
143,15-1143,Computer Network Architects,detailed,137890,45.19,43.75,91000,2012
145,15-1151,Computer User Support Specialists,detailed,525630,24.1,22.32,46420,2012
146,15-1152,Computer Network Support Specialists,detailed,167980,30.27,28.41,59090,2012
148,15-1199,"Computer Occupations, All Other",detailed,185730,39.36,39.01,81140,2012
149,15-2000,Mathematical Science Occupations,minor,121720,40.74,36.67,76270,2012
151,15-2011,Actuaries,detailed,21340,51.29,45.04,93680,2012
153,15-2021,Mathematicians,detailed,3250,48.69,48.73,101360,2012
155,15-2031,Operations Research Analysts,detailed,69180,38.38,34.66,72100,2012
157,15-2041,Statisticians,detailed,25570,38.25,36.33,75560,2012
159,15-2091,Mathematical Technicians,detailed,1150,30.87,27.32,56820,2012
160,15-2099,"Mathematical Science Occupations, All Other",detailed,1220,30.41,26.98,56120,2012
161,17-0000,Architecture and Engineering Occupations,major,2356530,37.98,35.35,73540,2012
162,17-1000,"Architects, Surveyors, and Cartographers",minor,150150,34.16,31.91,66380,2012
164,17-1011,"Architects, Except Landscape and Naval",detailed,82720,37.83,35.14,73090,2012
165,17-1012,Landscape Architects,detailed,15750,32.71,30.86,64180,2012
167,17-1021,Cartographers and Photogrammetrists,detailed,11490,29.63,27.62,57440,2012
168,17-1022,Surveyors,detailed,40190,28.45,27.04,56230,2012
169,17-2000,Engineers,minor,1530090,43.73,41.44,86200,2012
171,17-2011,Aerospace Engineers,detailed,80420,50.39,49.87,103720,2012
173,17-2021,Agricultural Engineers,detailed,2470,37.2,35.58,74000,2012
175,17-2031,Biomedical Engineers,detailed,18810,43.84,41.81,86960,2012
177,17-2041,Chemical Engineers,detailed,32190,49.17,45.36,94350,2012
179,17-2051,Civil Engineers,detailed,258100,40.45,38.14,79340,2012
181,17-2061,Computer Hardware Engineers,detailed,79580,49.99,48.52,100920,2012
183,17-2071,Electrical Engineers,detailed,160560,44.14,42.27,87920,2012
184,17-2072,"Electronics Engineers, Except Computer",detailed,134960,45.79,44.14,91820,2012
186,17-2081,Environmental Engineers,detailed,50850,40.93,38.89,80890,2012
188,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,23490,38.35,36.94,76830,2012
189,17-2112,Industrial Engineers,detailed,220130,39.47,37.92,78860,2012
191,17-2121,Marine Engineers and Naval Architects,detailed,6880,46.22,42.36,88100,2012
193,17-2131,Materials Engineers,detailed,22740,42.06,40.94,85150,2012
195,17-2141,Mechanical Engineers,detailed,252540,40.75,38.74,80580,2012
197,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,7640,43.87,40.54,84320,2012
199,17-2161,Nuclear Engineers,detailed,19930,51.51,50.13,104270,2012
201,17-2171,Petroleum Engineers,detailed,36410,70.9,62.64,130280,2012
203,17-2199,"Engineers, All Other",detailed,122410,44.87,44.24,92030,2012
204,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",minor,676280,25.82,24.87,51720,2012
206,17-3011,Architectural and Civil Drafters,detailed,83410,24.3,23.01,47870,2012
207,17-3012,Electrical and Electronics Drafters,detailed,28160,28.12,26.78,55700,2012
208,17-3013,Mechanical Drafters,detailed,63220,25.61,24.21,50360,2012
209,17-3019,"Drafters, All Other",detailed,14780,23.58,22.17,46110,2012
211,17-3021,Aerospace Engineering and Operations Technicians,detailed,9750,29.8,29.58,61530,2012
212,17-3022,Civil Engineering Technicians,detailed,70790,23.66,22.87,47560,2012
213,17-3023,Electrical and Electronics Engineering Technicians,detailed,144460,27.92,27.81,57850,2012
214,17-3024,Electro-Mechanical Technicians,detailed,16990,25.71,24.91,51820,2012
215,17-3025,Environmental Engineering Technicians,detailed,18590,23.74,21.8,45350,2012
216,17-3026,Industrial Engineering Technicians,detailed,67400,25.53,24.51,50980,2012
217,17-3027,Mechanical Engineering Technicians,detailed,46630,25.88,24.99,51980,2012
218,17-3029,"Engineering Technicians, Except Drafters, All Other",detailed,65090,29.25,28.58,59440,2012
220,17-3031,Surveying and Mapping Technicians,detailed,47000,20.52,19.07,39670,2012
221,19-0000,"Life, Physical, and Social Science Occupations",major,1104100,32.87,28.89,60100,2012
222,19-1000,Life Scientists,minor,260030,37.32,33.07,68780,2012
224,19-1011,Animal Scientists,detailed,2120,35.29,29.65,61680,2012
225,19-1012,Food Scientists and Technologists,detailed,13680,30.84,27.92,58070,2012
226,19-1013,Soil and Plant Scientists,detailed,12410,30.43,28.24,58740,2012
228,19-1021,Biochemists and Biophysicists,detailed,26410,43.01,39.17,81480,2012
229,19-1022,Microbiologists,detailed,18550,35.22,31.86,66260,2012
230,19-1023,Zoologists and Wildlife Biologists,detailed,18650,30.05,27.74,57710,2012
231,19-1029,"Biological Scientists, All Other",detailed,31080,36.64,34.95,72700,2012
233,19-1031,Conservation Scientists,detailed,18460,30.57,29.38,61100,2012
234,19-1032,Foresters,detailed,9470,27.47,26.9,55950,2012
236,19-1041,Epidemiologists,detailed,4850,34.33,31.38,65270,2012
237,19-1042,"Medical Scientists, Except Epidemiologists",detailed,95420,42.23,37.01,76980,2012
239,19-1099,"Life Scientists, All Other",detailed,8940,35.93,31.41,65330,2012
240,19-2000,Physical Scientists,minor,274610,40.08,35.99,74850,2012
242,19-2011,Astronomers,detailed,2150,49.3,46.37,96460,2012
243,19-2012,Physicists,detailed,17820,54.88,51.37,106840,2012
245,19-2021,Atmospheric and Space Scientists,detailed,10190,43.27,42.91,89260,2012
247,19-2031,Chemists,detailed,84950,36.96,34.5,71770,2012
248,19-2032,Materials Scientists,detailed,7970,43.15,42.78,88990,2012
250,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,84240,33.16,30.56,63570,2012
251,19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,35180,51.33,43.7,90890,2012
252,19-2043,Hydrologists,detailed,6880,37.94,36.31,75530,2012
254,19-2099,"Physical Scientists, All Other",detailed,25230,45.06,44.06,91640,2012
255,19-3000,Social Scientists and Related Workers,minor,235390,35.51,33.31,69290,2012
257,19-3011,Economists,detailed,15760,47.83,44.16,91860,2012
259,19-3022,Survey Researchers,detailed,17370,24.47,21.66,45050,2012
261,19-3031,"Clinical, Counseling, and School Psychologists",detailed,103590,34.72,32.53,67650,2012
262,19-3032,Industrial-Organizational Psychologists,detailed,1030,47.5,40.18,83580,2012
263,19-3039,"Psychologists, All Other",detailed,10350,41.53,43.28,90020,2012
265,19-3041,Sociologists,detailed,2340,38.86,36.04,74960,2012
267,19-3051,Urban and Regional Planners,detailed,37620,32.67,31.36,65230,2012
269,19-3091,Anthropologists and Archeologists,detailed,6060,28.95,27.61,57420,2012
270,19-3092,Geographers,detailed,1510,35.59,35.94,74760,2012
271,19-3093,Historians,detailed,3340,28,25.23,52480,2012
272,19-3094,Political Scientists,detailed,5750,50.29,49.04,102000,2012
273,19-3099,"Social Scientists and Related Workers, All Other",detailed,30660,38.25,36.8,76540,2012
274,19-4000,"Life, Physical, and Social Science Technicians",minor,334060,21.61,19.78,41130,2012
276,19-4011,Agricultural and Food Science Technicians,detailed,18280,17.49,16.38,34070,2012
278,19-4021,Biological Technicians,detailed,72740,20.48,19.11,39750,2012
280,19-4031,Chemical Technicians,detailed,61300,22.18,20.64,42920,2012
282,19-4041,Geological and Petroleum Technicians,detailed,15360,28.79,25.34,52700,2012
284,19-4051,Nuclear Technicians,detailed,8040,33.52,33.2,69060,2012
286,19-4061,Social Science Research Assistants,detailed,26370,19.6,17.86,37140,2012
288,19-4091,"Environmental Science and Protection Technicians, Including Health",detailed,30890,21.43,19.83,41240,2012
289,19-4092,Forensic Science Technicians,detailed,12440,26.79,25.41,52840,2012
290,19-4093,Forest and Conservation Technicians,detailed,31720,17.8,16.31,33920,2012
291,19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,56920,22.18,20.74,43130,2012
292,21-0000,Community and Social Service Occupations,major,1882080,21.27,19.42,40400,2012
293,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",minor,1811660,21.26,19.43,40400,2012
295,21-1011,Substance Abuse and Behavioral Disorder Counselors,detailed,80130,19.67,18.52,38520,2012
296,21-1012,"Educational, Guidance, School, and Vocational Counselors",detailed,237480,27,25.77,53610,2012
297,21-1013,Marriage and Family Therapists,detailed,34270,23.69,22.44,46670,2012
298,21-1014,Mental Health Counselors,detailed,115080,20.81,19.27,40080,2012
299,21-1015,Rehabilitation Counselors,detailed,104070,17.95,16.29,33880,2012
300,21-1019,"Counselors, All Other",detailed,27220,22.15,21.06,43810,2012
302,21-1021,"Child, Family, and School Social Workers",detailed,273920,21.78,19.97,41530,2012
303,21-1022,Healthcare Social Workers,detailed,140000,24.74,23.96,49830,2012
304,21-1023,Mental Health and Substance Abuse Social Workers,detailed,109920,20.84,19.22,39980,2012
305,21-1029,"Social Workers, All Other",detailed,58430,26.38,26.23,54560,2012
307,21-1091,Health Educators,detailed,55270,25.53,23.46,48790,2012
308,21-1092,Probation Officers and Correctional Treatment Specialists,detailed,86780,25.18,23.17,48190,2012
309,21-1093,Social and Human Service Assistants,detailed,351400,14.85,13.87,28850,2012
310,21-1094,Community Health Workers,detailed,38020,18.02,16.64,34620,2012
311,21-1099,"Community and Social Service Specialists, All Other",detailed,99680,20.99,19.74,41060,2012
312,21-2000,Religious Workers,minor,70410,21.41,19.4,40360,2012
314,21-2011,Clergy,detailed,44000,23.02,21.18,44060,2012
316,21-2021,"Directors, Religious Activities and Education",detailed,18310,20.5,17.92,37280,2012
318,21-2099,"Religious Workers, All Other",detailed,8110,14.73,12.69,26380,2012
319,23-0000,Legal Occupations,major,1023020,47.39,36.19,75270,2012
320,23-1000,"Lawyers, Judges, and Related Workers",minor,641020,60.99,53.24,110740,2012
322,23-1011,Lawyers,detailed,581920,62.93,54.58,113530,2012
323,23-1012,Judicial Law Clerks,detailed,11200,25.29,22.66,47120,2012
325,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,14150,43.26,41.94,87240,2012
326,23-1022,"Arbitrators, Mediators, and Conciliators",detailed,6520,37.12,29.46,61280,2012
327,23-1023,"Judges, Magistrate Judges, and Magistrates",detailed,27220,49.26,55.65,115760,2012
328,23-2000,Legal Support Workers,minor,382000,24.57,22.53,46850,2012
330,23-2011,Paralegals and Legal Assistants,detailed,267030,24.15,22.59,46990,2012
332,23-2091,Court Reporters,detailed,18590,25.48,23.15,48160,2012
333,23-2093,"Title Examiners, Abstractors, and Searchers",detailed,49390,22.26,20.18,41970,2012
334,23-2099,"Legal Support Workers, All Other",detailed,47000,29.03,25.32,52660,2012
335,25-0000,"Education, Training, and Library Occupations",major,8374910,24.62,22.13,46020,2012
